subj_id,RT,is_go_decision,tta_condition,d_condition,num_decision
202,1.9216,True,5.5,90,1
202,3.2343,False,5.5,70,2
202,2.6134,False,6.5,70,2
202,2.2001,False,6.5,70,2
273,1.7476,False,5.5,70,2
273,1.683,True,6.5,90,1
273,2.0647,False,5.5,90,2
273,1.8825,False,5.5,70,2
273,1.6853,True,5.5,90,1
273,1.7894,False,6.5,70,2
273,1.6067,True,6.5,90,1
273,1.8439,True,6.5,90,1
273,1.7172,False,5.5,70,2
273,2.195,False,6.5,70,2
273,1.9269,False,5.5,70,2
273,2.1312,False,6.5,70,2
273,1.8152,True,6.5,90,1
273,1.4876,True,6.5,70,1
273,1.4428,True,5.5,90,1
273,1.8928,True,6.5,90,1
273,2.0845,False,6.5,70,2
273,1.7221,True,5.5,90,1
273,1.7942,False,5.5,70,2
273,2.2388,False,6.5,70,2
273,2.1745,True,6.5,90,1
273,1.5802,True,6.5,90,1
273,2.3007,False,5.5,90,2
273,1.744,False,5.5,70,2
273,1.8244,True,5.5,90,1
273,1.7522,False,5.5,70,2
273,1.6427,True,6.5,90,1
273,1.8232,False,6.5,70,2
273,1.6118,True,6.5,70,1
273,1.7174,False,5.5,70,2
273,1.7439,True,6.5,90,1
273,1.9562,False,6.5,70,2
273,1.6771,True,5.5,90,1
273,1.6381,True,5.5,90,1
273,1.7699,True,6.5,90,1
273,1.8587,False,5.5,70,2
273,1.9675,False,6.5,70,2
273,3.7312,False,5.5,90,2
273,1.5661,True,5.5,70,1
273,2.5239,False,5.5,90,2
273,1.7756,True,6.5,70,1
273,1.6513,True,6.5,90,1
273,1.8686,True,6.5,90,1
273,2.0582,False,5.5,70,2
273,1.7004,True,6.5,70,1
273,1.6822,True,6.5,90,1
273,1.8008,False,5.5,70,2
273,1.7283,True,6.5,90,1
273,1.6699,True,5.5,90,1
273,1.5761,True,6.5,90,1
273,1.4705,True,6.5,70,1
273,2.6144,False,6.5,70,2
273,2.0962,False,6.5,70,2
273,1.7681,True,5.5,90,1
273,1.7679,True,5.5,90,1
273,1.4971,True,5.5,90,1
273,1.9906,False,6.5,70,2
273,1.8541,False,5.5,70,2
273,1.651,True,6.5,90,1
273,1.8391,False,5.5,70,2
273,2.4507,False,5.5,90,2
273,1.6833,True,6.5,70,1
273,1.5963,True,5.5,90,1
273,2.3878,False,5.5,70,2
273,1.6753,True,6.5,90,1
273,1.817,False,5.5,70,2
273,1.5879,True,5.5,90,1
273,1.6776,True,6.5,90,1
273,2.103,True,5.5,90,1
273,2.4043,False,6.5,70,2
273,1.7734,True,6.5,90,1
273,1.7032,False,6.5,70,2
273,1.8021,False,5.5,70,2
273,1.6994,True,6.5,70,1
273,1.6244,True,6.5,90,1
273,1.72,False,5.5,70,2
273,1.724,True,5.5,90,1
273,1.5111,True,6.5,90,1
273,2.0543,False,5.5,70,2
273,1.9941,False,5.5,70,2
273,1.7472,True,6.5,70,1
273,1.7119,True,6.5,90,1
273,2.0882,True,6.5,90,1
273,1.5476,True,6.5,90,1
273,1.6646,False,5.5,70,2
273,1.6084,True,6.5,70,1
273,1.6538,True,6.5,70,1
273,1.8913,False,5.5,70,2
273,1.7079,True,5.5,90,1
273,1.7149,True,6.5,70,1
273,2.2085,False,5.5,90,2
273,1.544,True,5.5,90,1
333,2.1036,False,6.5,90,2
333,2.2437,False,6.5,70,2
333,1.8334,True,5.5,90,1
333,1.9736,False,5.5,70,2
333,1.854,False,5.5,70,2
333,2.2239,True,6.5,90,1
333,2.8871,False,6.5,90,2
333,2.131,True,5.5,90,1
333,2.7325,False,5.5,90,2
333,1.8693,False,5.5,70,2
333,2.2336,False,6.5,70,2
333,1.9465,True,6.5,70,1
333,1.9405,False,5.5,70,2
333,1.7751,False,6.5,70,2
333,1.8411,True,6.5,90,1
333,1.7245,True,5.5,90,1
333,2.7771,False,6.5,90,2
333,1.8238,True,6.5,90,1
333,1.7253,False,6.5,70,2
333,2.144,False,5.5,70,2
333,2.7012,False,6.5,90,2
333,2.5751,False,6.5,70,2
333,2.8632,False,5.5,90,2
333,1.9107,False,5.5,70,2
333,1.6519,False,5.5,70,2
333,2.2944,False,5.5,90,2
333,3.4393,False,5.5,90,2
333,1.9889,False,5.5,70,2
333,3.0288,False,6.5,70,2
333,1.9501,False,6.5,70,2
333,1.767,True,6.5,90,1
333,1.5976,False,5.5,70,2
333,1.6834,True,6.5,90,1
333,2.064,False,5.5,90,2
333,1.9543,True,6.5,90,1
333,2.1025,False,6.5,70,2
333,1.6683,False,5.5,70,2
333,1.7552,True,6.5,90,1
333,2.2657,False,5.5,90,2
333,2.8017,False,5.5,90,2
333,2.1344,False,6.5,70,2
333,3.932,False,5.5,90,2
333,2.3088,False,5.5,70,2
333,1.9223,True,6.5,90,1
333,3.0779,False,6.5,70,2
333,1.6924,False,5.5,70,2
333,3.0271,False,6.5,70,2
333,1.4668,True,6.5,90,1
333,1.8621,False,5.5,90,2
333,1.1335,False,6.5,70,2
333,2.5531,False,6.5,70,2
333,1.7949,False,6.5,70,2
333,1.2492,False,5.5,70,2
333,1.651,False,5.5,70,2
333,1.9631,False,5.5,70,2
333,2.2329,False,6.5,70,2
333,1.4731,True,5.5,70,1
333,2.1596,False,5.5,90,2
333,1.6514,False,6.5,90,2
333,3.0824,False,6.5,90,2
333,1.9082,False,5.5,90,2
333,2.4533,False,6.5,90,2
333,1.5505,True,5.5,90,1
333,2.1081,False,6.5,90,2
333,2.0398,False,5.5,90,2
333,2.2118,False,5.5,90,2
333,2.0465,False,6.5,70,2
333,1.612,True,6.5,90,1
333,1.9779,False,6.5,70,2
333,1.7847,False,6.5,70,2
333,1.7342,False,5.5,70,2
333,2.6374,False,5.5,90,2
333,1.6632,False,6.5,70,2
333,2.0308,False,5.5,70,2
333,1.2579,True,5.5,90,1
333,1.8361,False,5.5,70,2
333,1.8336,True,6.5,90,1
333,1.659,False,5.5,70,2
333,1.7228,False,6.5,70,2
333,2.0982,False,5.5,90,2
333,1.8847,False,5.5,70,2
333,1.774,False,6.5,70,2
333,1.6317,True,6.5,90,1
333,1.399,True,6.5,90,1
333,1.9668,False,5.5,70,2
333,1.5305,False,5.5,90,2
333,1.5576,True,6.5,90,1
333,1.9549,False,5.5,90,2
333,1.7059,False,6.5,70,2
333,1.6779,True,6.5,90,1
333,1.7802,False,5.5,70,2
333,1.7625,False,5.5,70,2
398,1.5381,True,5.5,90,1
398,1.3478,True,5.5,90,1
398,2.604,False,5.5,70,2
398,1.4246,True,6.5,70,1
398,1.2566,True,6.5,90,1
398,1.3933,True,5.5,90,1
398,1.1678,True,6.5,90,1
398,1.5499,True,6.5,70,1
398,1.3707,True,6.5,90,1
398,1.4751,True,6.5,90,1
398,1.2519,True,6.5,70,1
398,1.1632,True,5.5,70,1
398,1.6145,True,6.5,70,1
398,1.9503,True,5.5,90,1
398,1.2398,True,5.5,70,1
398,1.1689,True,5.5,70,1
398,1.2149,True,5.5,90,1
398,2.5004,False,6.5,70,2
398,1.6257,True,5.5,90,1
398,1.634,True,5.5,70,1
398,1.4987,True,5.5,70,1
398,1.9514,True,5.5,90,1
398,1.7205,True,6.5,70,1
398,1.7119,True,5.5,70,1
398,1.3889,True,5.5,90,1
398,1.9018,True,6.5,70,1
398,1.3469,True,6.5,90,1
398,1.9163,True,6.5,70,1
398,1.6389,True,6.5,90,1
398,1.6069,True,6.5,90,1
398,1.7119,True,5.5,70,1
398,1.6738,True,6.5,70,1
398,1.6501,True,5.5,90,1
398,2.0668,False,5.5,70,2
398,2.4667,True,6.5,90,1
398,2.2627,False,5.5,70,2
398,2.2122,False,5.5,70,2
398,1.637,True,6.5,70,1
398,2.3164,True,6.5,90,1
398,1.4848,True,5.5,90,1
398,1.6422,True,5.5,90,1
398,2.0729,False,5.5,70,2
398,2.1775,False,6.5,70,2
398,1.7537,True,6.5,70,1
398,1.6336,True,6.5,90,1
398,2.582,False,6.5,90,2
398,1.7593,True,6.5,90,1
398,2.0077,True,6.5,90,1
398,1.863,True,6.5,90,1
398,1.8838,False,5.5,70,2
398,2.3981,False,6.5,70,2
398,1.8568,False,5.5,70,2
398,2.277,False,6.5,70,2
398,1.5239,True,5.5,90,1
398,2.141,True,5.5,90,1
398,1.745,True,6.5,90,1
398,1.918,False,5.5,90,2
398,1.823,False,5.5,70,2
398,1.749,False,5.5,70,2
398,2.3831,False,6.5,70,2
398,2.0303,False,6.5,70,2
398,1.6631,True,5.5,90,1
398,1.7765,True,6.5,90,1
398,2.2333,False,6.5,70,2
398,2.1785,False,5.5,90,2
398,1.6619,True,5.5,70,1
398,2.1751,False,6.5,70,2
398,1.832,True,5.5,90,1
398,2.1306,False,6.5,90,2
398,1.9513,True,5.5,90,1
398,1.9771,False,5.5,70,2
398,1.7672,True,6.5,70,1
398,1.9266,False,5.5,70,2
398,1.6543,False,5.5,70,2
398,1.5753,True,6.5,70,1
398,1.98,True,5.5,90,1
398,1.9817,True,6.5,90,1
398,2.191,False,6.5,90,2
398,2.1067,False,5.5,70,2
398,1.6725,True,6.5,90,1
398,1.5121,True,5.5,70,1
398,2.114,True,6.5,90,1
398,1.9339,False,5.5,70,2
398,2.4182,False,5.5,90,2
398,2.7164,False,6.5,90,2
398,1.041,True,5.5,70,1
398,1.9983,False,6.5,70,2
398,1.7602,True,5.5,90,1
398,2.5933,False,5.5,90,2
398,1.87,False,6.5,70,2
398,1.7702,False,6.5,70,2
398,1.8971,False,5.5,90,2
398,2.1135,False,6.5,70,2
566,3.9093,False,6.5,90,2
566,2.5831,False,6.5,70,2
566,2.1962,False,5.5,90,2
566,2.4978,False,6.5,90,2
566,2.4022,False,5.5,70,2
566,1.3716,True,6.5,90,1
566,2.298,False,5.5,90,2
566,3.2237,False,6.5,90,2
566,1.885,True,6.5,70,1
566,1.9058,False,6.5,70,2
566,2.5065,False,5.5,70,2
566,2.8743,False,5.5,70,2
566,2.7199,False,5.5,90,2
566,2.4563,False,5.5,70,2
566,2.8548,False,6.5,70,2
566,2.77300000000001,False,5.5,90,2
566,2.5259,False,5.5,90,2
566,2.2248,False,6.5,90,2
566,1.9225,False,6.5,70,2
566,1.9954,False,6.5,70,2
566,2.1564,False,6.5,90,2
566,1.378,True,6.5,70,1
566,1.8596,False,5.5,70,2
566,2.8357,False,5.5,70,2
566,2.0726,True,5.5,90,1
566,2.1188,False,6.5,90,2
566,2.6778,False,5.5,90,2
566,1.1715,True,5.5,70,1
566,1.884,False,6.5,70,2
566,2.4021,False,6.5,90,2
566,2.0798,False,5.5,90,2
566,2.3708,False,6.5,70,2
566,2.1033,False,6.5,70,2
566,2.2043,False,5.5,70,2
566,1.0805,True,5.5,90,1
566,1.6171,False,6.5,70,2
566,3.9465,False,6.5,90,2
566,2.0296,False,6.5,90,2
566,2.0765,False,5.5,90,2
566,1.6617,False,5.5,70,2
566,1.9757,False,6.5,70,2
566,1.2435,True,6.5,90,1
566,2.164,False,5.5,70,2
566,2.3989,False,5.5,90,2
566,2.1037,False,5.5,70,2
566,2.0134,False,5.5,90,2
566,1.9527,False,6.5,90,2
566,2.6671,False,5.5,90,2
566,1.7761,False,6.5,70,2
566,2.6267,False,6.5,70,2
566,1.463,False,6.5,70,2
566,2.1322,False,6.5,90,2
566,2.2947,False,5.5,70,2
566,1.8239,False,5.5,70,2
566,1.9943,False,5.5,90,2
566,1.7834,False,6.5,70,2
566,2.1854,False,5.5,90,2
566,1.5836,False,6.5,70,2
566,1.9334,False,6.5,90,2
566,1.9692,True,6.5,90,1
566,2.2369,False,6.5,90,2
566,2.0518,False,5.5,90,2
566,1.8399,False,5.5,90,2
566,1.6304,False,6.5,90,2
566,1.2078,True,5.5,90,1
566,1.693,False,6.5,70,2
566,1.5878,False,5.5,70,2
566,1.3299,True,5.5,90,1
566,2.0543,False,5.5,70,2
566,2.0946,False,5.5,90,2
566,2.457,False,6.5,70,2
566,2.1528,False,6.5,90,2
566,1.2102,True,6.5,70,1
566,1.5929,True,5.5,70,1
566,1.6152,False,6.5,90,2
566,1.0941,True,6.5,90,1
627,3.0006,False,6.5,70,2
627,3.2509,False,6.5,70,2
627,2.6217,False,5.5,90,2
627,2.9625,False,6.5,90,2
627,3.0482,False,5.5,70,2
627,2.2143,True,6.5,70,1
627,2.6671,False,6.5,90,2
627,2.4,False,5.5,70,2
627,2.3997,False,5.5,90,2
627,2.9032,False,5.5,90,2
627,1.8358,True,6.5,90,1
627,2.059,False,5.5,70,2
627,2.2869,False,6.5,70,2
627,2.8248,False,6.5,70,2
627,1.6115,True,6.5,70,1
627,1.5004,True,5.5,90,1
627,1.492,True,6.5,90,1
627,3.0805,False,6.5,90,2
627,1.6985,True,6.5,90,1
627,1.5069,False,5.5,70,2
627,2.115,False,5.5,70,2
627,1.873,True,5.5,90,1
627,2.5121,False,5.5,90,2
627,1.2554,True,5.5,90,1
627,1.8639,False,6.5,70,2
627,2.4018,False,6.5,90,2
627,1.508,True,5.5,70,1
627,1.6214,True,5.5,70,1
627,1.84269999999999,False,5.5,70,2
627,1.6693,True,6.5,70,1
627,2.5195,False,6.5,70,2
